text,sentiment,cleaned_text
الكتاب كان ممتعًا ومفيدًا,positive,الكتاب ممتعا ومفيدا
الكتاب ممل وغير مفيد,negative,الكتاب ممل وغير مفيد
الكتاب لا بأس به ولكنه ليس الأفضل,neutral,الكتاب باس ولكنه الافضل
التطبيق ساعدني كثيرًا وأنصح باستخدامه,positive,التطبيق ساعدني وانصح باستخدامه
التطبيق يستهلك البطارية بشكل مفرط,negative,التطبيق يستهلك البطاريه بشكل مفرط
التطبيق عادي ولا يوجد شيء مميز,neutral,التطبيق عادي يوجد شيء مميز
الخدمة رائعة وسريعة جدًا,positive,الخدمه رايعه وسريعه جدا
الخدمة سيئة للغاية والتعامل غير محترم,negative,الخدمه سييه للغايه والتعامل محترم
الخدمة مقبولة ولكن ليست مميزة,neutral,الخدمه مقبوله مميزه
صوتها واضح وحلو ماتوقعت,positive,صوتها واضح وحلو ماتوقعت
الجودة منخفضة للغاية,negative,الجوده منخفضه للغايه
على سعرها ماشي الحال,neutral,علي سعرها ماشي الحال
